video,frame,time_frame,top1_cls,top1_prob,top2_cls,top2_prob,top3_cls,top3_prob,top4_cls,top4_prob,top5_cls,top5_prob
80,0,0.0,0,0.8869752883911133,11,0.028403135016560555,7,0.016763649880886078,6,0.01125364564359188,1,0.010908900760114193
80,1,1.0,0,0.896208643913269,11,0.02555917762219906,7,0.01563183218240738,6,0.010474758222699165,1,0.010235755704343319
80,2,2.0,0,0.9061450362205505,11,0.023108122870326042,7,0.014628986828029156,6,0.009234603494405746,1,0.009167896583676338
80,3,3.0,0,0.9076881408691406,11,0.02281174249947071,7,0.01436044555157423,1,0.00910195056349039,6,0.009037972427904606
80,4,4.0,0,0.916547954082489,11,0.02034907229244709,7,0.012824658304452896,1,0.008253718726336956,6,0.008213301189243793
80,5,5.0,0,0.9175998568534851,11,0.020079873502254486,7,0.012636837549507618,1,0.00813406240195036,6,0.008122703060507774
80,6,6.0,0,0.9186132550239563,11,0.019858764484524727,7,0.012496070004999638,6,0.00803834293037653,1,0.00799627136439085
80,7,7.0,0,0.9188517928123474,11,0.01979278028011322,7,0.012458834797143936,6,0.00800982117652893,1,0.007997799664735794
80,8,8.0,0,0.9306011199951172,11,0.01699085906147957,7,0.01039864867925644,6,0.007504873443394899,1,0.006680426653474569
80,9,9.0,0,0.9314270615577698,11,0.016781138256192207,7,0.010242468677461147,6,0.0074102566577494144,1,0.006635682657361031
80,10,10.0,0,0.9327074885368347,11,0.016459599137306213,7,0.010069259442389011,6,0.007274838164448738,1,0.0064991069957613945
80,11,11.0,0,0.932928204536438,11,0.016406452283263206,7,0.01004740409553051,6,0.007243844214826822,1,0.006483269389718771
80,12,12.0,0,0.9341100454330444,11,0.01612902618944645,7,0.009841612540185452,6,0.007133300416171551,1,0.006386448163539171
80,13,13.0,0,0.9342777729034424,11,0.016097627580165863,7,0.009807313792407513,6,0.007116301450878382,1,0.006368401926010847
80,14,14.0,0,0.9344822764396667,11,0.01604154333472252,7,0.009773919358849525,6,0.007098062429577112,1,0.006349014583975077
80,15,15.0,0,0.9345762729644775,11,0.016012266278266907,7,0.009763378649950027,6,0.00708399573341012,1,0.0063470108434557915
80,16,16.0,0,0.9472311735153198,11,0.012686001136898994,7,0.007886460050940514,6,0.006123005412518978,1,0.005143434274941683
80,17,17.0,0,0.9478306174278259,11,0.012511961162090302,7,0.007790668867528439,6,0.006055890116840601,1,0.00510035827755928
80,18,18.0,0,0.9486894607543945,11,0.012339893728494644,7,0.0076945992186665535,6,0.00596699770539999,1,0.004988647531718016
80,19,19.0,0,0.9488292336463928,11,0.012312915176153183,7,0.007682585157454014,6,0.005946697201579809,1,0.00497691472992301
80,20,20.0,0,0.9495754241943359,11,0.012151006609201431,7,0.007599453907459974,6,0.0058543444611132145,1,0.00491119921207428
80,21,21.0,0,0.9497050642967224,11,0.012123563326895237,7,0.0075798071920871735,6,0.005838437937200069,1,0.004897974897176027
80,22,22.0,0,0.9497824907302856,11,0.012100310064852238,7,0.007575298193842173,6,0.005833426024764776,1,0.0048894574865698814
80,23,23.0,0,0.94983971118927,11,0.01208314299583435,7,0.007567872293293476,6,0.00582562992349267,1,0.004887527786195278
80,24,24.0,0,0.9508802890777588,11,0.011836261488497257,7,0.0074890777468681335,6,0.005735723301768303,1,0.004795758984982967
80,25,25.0,0,0.9509938359260559,11,0.0118126654997468,7,0.00747113348916173,6,0.0057220435701310635,1,0.004786427598446608
80,26,26.0,0,0.9510963559150696,11,0.01179763674736023,7,0.007457843516021967,6,0.005714332684874535,1,0.004778165835887194
80,27,27.0,0,0.9511809945106506,11,0.011783608235418797,7,0.0074446783401072025,6,0.0057022301480174065,1,0.004771002568304539
80,28,28.0,0,0.9513107538223267,11,0.01175615843385458,7,0.007426309399306774,6,0.005688933655619621,1,0.004758456721901894
80,29,29.0,0,0.9513561129570007,11,0.011746950447559357,7,0.00741871353238821,6,0.0056830355897545815,1,0.004755539819598198
80,30,30.0,0,0.951401948928833,11,0.011726166121661663,7,0.007413812447339296,6,0.0056792874820530415,1,0.0047524613328278065
80,31,31.0,0,0.9514657258987427,11,0.011708519421517849,7,0.007403911557048559,6,0.005670586135238409,1,0.004749271087348461
80,32,32.0,0,0.9596882462501526,11,0.009499926120042801,7,0.00626844447106123,6,0.005114226136356592,1,0.004050216171890497
