Epoch 1/160: 100%|██████████| 82/82 [00:08<00:00,  9.17it/s]
2025-07-02 22:44:18.947 | INFO     | model:train:251 - [epoch 1]: epoch loss = 9.316348,   acc = 0.171569
[epoch 1]: epoch loss = 9.316348,   acc = 0.171569
Epoch 2/160: 100%|██████████| 82/82 [00:08<00:00,  9.66it/s]
2025-07-02 22:44:27.474 | INFO     | model:train:251 - [epoch 2]: epoch loss = 8.433046,   acc = 0.208705
[epoch 2]: epoch loss = 8.433046,   acc = 0.208705
Epoch 3/160: 100%|██████████| 82/82 [00:08<00:00,  9.81it/s]
2025-07-02 22:44:35.913 | INFO     | model:train:251 - [epoch 3]: epoch loss = 7.177304,   acc = 0.336675
[epoch 3]: epoch loss = 7.177304,   acc = 0.336675
Epoch 4/160: 100%|██████████| 82/82 [00:08<00:00,  9.66it/s]
2025-07-02 22:44:44.483 | INFO     | model:train:251 - [epoch 4]: epoch loss = 6.011511,   acc = 0.520446
[epoch 4]: epoch loss = 6.011511,   acc = 0.520446
Epoch 5/160: 100%|██████████| 82/82 [00:08<00:00,  9.52it/s]
2025-07-02 22:44:53.193 | INFO     | model:train:251 - [epoch 5]: epoch loss = 5.210329,   acc = 0.606432
[epoch 5]: epoch loss = 5.210329,   acc = 0.606432
Epoch 6/160: 100%|██████████| 82/82 [00:08<00:00,  9.63it/s]
2025-07-02 22:45:01.789 | INFO     | model:train:251 - [epoch 6]: epoch loss = 4.838584,   acc = 0.641378
[epoch 6]: epoch loss = 4.838584,   acc = 0.641378
Epoch 7/160: 100%|██████████| 82/82 [00:08<00:00,  9.84it/s]
2025-07-02 22:45:10.202 | INFO     | model:train:251 - [epoch 7]: epoch loss = 4.545273,   acc = 0.665113
[epoch 7]: epoch loss = 4.545273,   acc = 0.665113
Epoch 8/160: 100%|██████████| 82/82 [00:08<00:00,  9.83it/s]
2025-07-02 22:45:18.606 | INFO     | model:train:251 - [epoch 8]: epoch loss = 4.210839,   acc = 0.696238
[epoch 8]: epoch loss = 4.210839,   acc = 0.696238
Epoch 9/160: 100%|██████████| 82/82 [00:08<00:00,  9.95it/s]
2025-07-02 22:45:26.905 | INFO     | model:train:251 - [epoch 9]: epoch loss = 3.985741,   acc = 0.713188
[epoch 9]: epoch loss = 3.985741,   acc = 0.713188
Epoch 10/160: 100%|██████████| 82/82 [00:08<00:00,  9.48it/s]
2025-07-02 22:45:35.622 | INFO     | model:train:251 - [epoch 10]: epoch loss = 3.651240,   acc = 0.743957
[epoch 10]: epoch loss = 3.651240,   acc = 0.743957
Epoch 11/160: 100%|██████████| 82/82 [00:08<00:00,  9.68it/s]
2025-07-02 22:45:44.156 | INFO     | model:train:251 - [epoch 11]: epoch loss = 3.452688,   acc = 0.761429
[epoch 11]: epoch loss = 3.452688,   acc = 0.761429
Epoch 12/160: 100%|██████████| 82/82 [00:08<00:00,  9.55it/s]
2025-07-02 22:45:52.812 | INFO     | model:train:251 - [epoch 12]: epoch loss = 3.338679,   acc = 0.772053
[epoch 12]: epoch loss = 3.338679,   acc = 0.772053
Epoch 13/160: 100%|██████████| 82/82 [00:08<00:00,  9.81it/s]
2025-07-02 22:46:01.236 | INFO     | model:train:251 - [epoch 13]: epoch loss = 3.616594,   acc = 0.752988
[epoch 13]: epoch loss = 3.616594,   acc = 0.752988
Epoch 14/160: 100%|██████████| 82/82 [00:08<00:00,  9.65it/s]
2025-07-02 22:46:09.806 | INFO     | model:train:251 - [epoch 14]: epoch loss = 3.147047,   acc = 0.789066
[epoch 14]: epoch loss = 3.147047,   acc = 0.789066
Epoch 15/160: 100%|██████████| 82/82 [00:08<00:00,  9.63it/s]
2025-07-02 22:46:18.380 | INFO     | model:train:251 - [epoch 15]: epoch loss = 2.882535,   acc = 0.816672
[epoch 15]: epoch loss = 2.882535,   acc = 0.816672
Epoch 16/160: 100%|██████████| 82/82 [00:08<00:00,  9.63it/s]
2025-07-02 22:46:26.958 | INFO     | model:train:251 - [epoch 16]: epoch loss = 2.726809,   acc = 0.829120
[epoch 16]: epoch loss = 2.726809,   acc = 0.829120
Epoch 17/160: 100%|██████████| 82/82 [00:08<00:00,  9.60it/s]
2025-07-02 22:46:35.580 | INFO     | model:train:251 - [epoch 17]: epoch loss = 2.636214,   acc = 0.835164
[epoch 17]: epoch loss = 2.636214,   acc = 0.835164
Epoch 18/160: 100%|██████████| 82/82 [00:08<00:00,  9.77it/s]
2025-07-02 22:46:44.049 | INFO     | model:train:251 - [epoch 18]: epoch loss = 2.475467,   acc = 0.848508
[epoch 18]: epoch loss = 2.475467,   acc = 0.848508
Epoch 19/160: 100%|██████████| 82/82 [00:08<00:00,  9.60it/s]
2025-07-02 22:46:52.674 | INFO     | model:train:251 - [epoch 19]: epoch loss = 2.405540,   acc = 0.854612
[epoch 19]: epoch loss = 2.405540,   acc = 0.854612
Epoch 20/160: 100%|██████████| 82/82 [00:08<00:00,  9.77it/s]
2025-07-02 22:47:01.163 | INFO     | model:train:251 - [epoch 20]: epoch loss = 2.636960,   acc = 0.829808
[epoch 20]: epoch loss = 2.636960,   acc = 0.829808
Predicted labels distribution: (array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11]), array([ 5911,  4707,  4274,  8414, 14085, 14128,  5762,  7822,  1008,
        1613,  1650,  1796]))
True labels distribution: (array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11]), array([ 8380,  6077,  4321,  5525, 13939, 13696,  5106,  6929,   112,
        1780,  1352,  3953]))
2025-07-02 22:47:01.491 | INFO     | model:train:267 - [epoch 20]: val loss = 5.504005,   val acc = 0.601686,   val balanced acc = 0.520592
[epoch 20]: val loss = 5.504005,   val acc = 0.601686,   val balanced acc = 0.520592
Epoch 21/160:  91%|█████████▏| 75/82 [00:07<00:00, 10.43it/s]wandb: WARNING Tried to log to step 20 that is less than the current step 21. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
Epoch 21/160: 100%|██████████| 82/82 [00:08<00:00,  9.86it/s]
2025-07-02 22:47:09.931 | INFO     | model:train:251 - [epoch 21]: epoch loss = 2.381737,   acc = 0.854290
[epoch 21]: epoch loss = 2.381737,   acc = 0.854290
Epoch 22/160: 100%|██████████| 82/82 [00:08<00:00,  9.76it/s]
2025-07-02 22:47:18.391 | INFO     | model:train:251 - [epoch 22]: epoch loss = 2.105538,   acc = 0.878697
[epoch 22]: epoch loss = 2.105538,   acc = 0.878697
